Date,Open,High,Low,Close,Adj Close,Volume,,log return
2014-02-24,164.080002,167.410004,164.080002,166.539993,150.612579,3242900,,0.005352596
2014-02-25,166.110001,166.300003,163.160004,163.479996,147.845322,3682300,,-0.008053658
2014-02-26,163.259995,163.899994,160.770004,162.800003,147.72731,3978300,,-0.000346798
2014-02-27,162.660004,165.789993,162.339996,165.380005,150.068405,3806600,,0.006828477
2014-02-28,164.809998,167.820007,164.570007,166.449997,151.039383,4291500,,0.002800936
2014-03-03,164.220001,165.309998,163.660004,164.740005,149.487732,3122900,,-0.00448465
2014-03-04,166.639999,168.759995,166.199997,168.729996,153.108261,3400500,,0.010393071
2014-03-05,168.800003,172.899994,168.25,171.899994,155.984802,4451200,,0.008083662
2014-03-06,172.710007,174,172.490005,172.600006,156.62001,3403500,,0.001764961
2014-03-07,173.979996,175.589996,173.110001,174.259995,158.126343,4088900,,0.00415698
2014-03-10,173.600006,174.490005,172.470001,173.509995,157.445755,2179100,,-0.001873271
2014-03-11,173.960007,173.960007,169.850006,169.889999,154.160904,3832300,,-0.009156707
2014-03-12,169.130005,169.990005,167.809998,169.720001,154.006668,2550000,,-0.000434724
2014-03-13,170.479996,171.240005,166.570007,166.699997,151.266251,3421400,,-0.007797481
2014-03-14,166.899994,167.399994,165.029999,165.350006,150.04126,2762100,,-0.003531341
2014-03-17,166.380005,168.800003,166.330002,166.839996,151.39328,3198000,,0.003895896
2014-03-18,167.270004,169,167.009995,168.089996,152.527542,1941300,,0.003241673
2014-03-19,168.490005,170.160004,166.800003,168.179993,152.609238,3534100,,0.000232552
2014-03-20,167.880005,170.449997,167.270004,169.220001,153.552917,3950500,,0.002677247
2014-03-21,169.690002,170,166.910004,166.949997,151.493088,4779100,,-0.005865253
2014-03-24,167.130005,167.979996,165.100006,165.720001,150.376953,2723000,,-0.003211538
2014-03-25,166.589996,167.419998,162.800003,163.25,148.135681,4437500,,-0.006521602
2014-03-26,164.740005,165,161.720001,161.729996,146.756363,2590300,,-0.004062738
2014-03-27,161.800003,163.309998,160.770004,162.289993,147.264526,3890200,,0.001501204
2014-03-28,162.210007,164.190002,161.289993,162.300003,147.273651,2630500,,2.69095E-05
